geneId	cluster
Mp2g02250	C3
Mp2g02310	C6
Mp2g02340	C3
Mp2g02350	C10
Mp2g02350	C1
Mp2g02360	C3
Mp2g02480	C1
Mp2g02530	C6
Mp2g02530	C1
Mp2g02570	C3
Mp2g02650	C2
Mp2g02790	C6
Mp2g02870	C9
Mp2g02930	C3
Mp2g02950	C10
Mp2g03000	C2
Mp2g03000	C3
Mp2g03040	C6
Mp2g03120	C3
Mp2g03210	C3
Mp2g03300	C3
Mp2g03470	C9
Mp2g03480	C1
Mp2g03650	C3
Mp2g03680	C3
Mp2g03730	C3
Mp2g03750	C3
Mp2g03800	C1
Mp2g03800	C5
Mp2g03840	C3
Mp2g03870	C6
Mp2g03890	C3
Mp2g03950	C2
Mp2g03990	C3
Mp2g04040	C2
Mp2g04120	C6
Mp2g04200	C3
Mp2g04220	C3
Mp2g04240	C1
Mp2g04330	C7
Mp2g04400	C2
Mp2g04420	C6
Mp2g04440	C10
Mp2g04485a	C3
Mp2g04540	C6
Mp2g04610	C6
Mp2g04610	C1
Mp2g04630	C10
Mp2g04730	C6
Mp2g04740	C3
Mp2g04840	C3
Mp2g04880	C6
Mp2g04910	C2
Mp2g04920	C10
Mp2g04950	C3
Mp2g04970	C3
Mp2g05050	C5
Mp2g05060	C6
Mp2g05080	C10
Mp2g05090	C4
Mp2g05100	C4
Mp2g05130	C3
Mp2g05140	C3
Mp2g05180	C10
Mp2g05210	C3
Mp2g05255a	C6
Mp2g05255a	C2
Mp2g05270	C10
Mp2g05350	C6
Mp2g05460	C3
Mp2g05470	C3
Mp2g05480	C3
Mp2g05490	C2
Mp2g05630	C3
Mp2g05700	C6
Mp2g05730	C6
Mp2g05810	C10
Mp2g05810	C3
Mp2g05830	C4
Mp2g05920	C3
Mp2g05940	C6
Mp2g05950	C7
Mp2g05980	C3
Mp2g06000	C2
Mp2g06110	C1
Mp2g06160	C2
Mp2g06160	C6
Mp2g06290	C3
Mp2g06380	C6
Mp2g06440	C2
Mp2g06440	C3
Mp2g06450	C9
Mp2g06570	C3
Mp2g06620	C7
Mp2g06630	C6
Mp2g06800	C3
Mp2g06970	C3
Mp2g06990	C3
Mp2g07000	C2
Mp2g07020	C5
Mp2g07040	C3
Mp2g07090	C3
Mp2g07120	C5
Mp2g07160	C1
Mp2g07240	C3
Mp2g07370	C3
Mp2g07390	C3
Mp2g07430	C4
Mp2g07440	C6
Mp2g07460	C10
Mp2g07500	C2
Mp2g07590	C6
Mp2g07660	C3
Mp2g07680	C6
Mp2g07690	C3
Mp2g07740	C2
Mp2g07770	C15
