gene	group
Mp5g18010	U_HS T
Mp5g18690	U_HS T
Mp5g18980	U_HS T
Mp5g19710	U_HS T
Mp5g20360	U_HS T
Mp5g20470	U_HS T
Mp5g20900	U_HS T
Mp5g22790	U_HS T
Mp5g22830	U_HS T
Mp5g22920	U_HS T
Mp5g23660	U_HS T
Mp5g23700	U_HS T
Mp5g23860	U_HS T
Mp5g24090	U_HS T
Mp5g24220	U_HS T
Mp5g24230	U_HS T
Mp5g24390	U_HS T
Mp6g01420	U_HS T
Mp6g01570	U_HS T
Mp6g01720	U_HS T
Mp6g02170	U_HS T
Mp6g02250	U_HS T
Mp6g02280	U_HS T
Mp6g02290	U_HS T
Mp6g02550	U_HS T
Mp6g03280	U_HS T
Mp6g03320	U_HS T
Mp6g03330	U_HS T
Mp6g03700	U_HS T
Mp6g03710	U_HS T
Mp6g03890	U_HS T
Mp6g03920	U_HS T
Mp6g03960	U_HS T
Mp6g04760	U_HS T
Mp6g04770	U_HS T
Mp6g04830	U_HS T
Mp6g05060	U_HS T
Mp6g05140	U_HS T
Mp6g05150	U_HS T
Mp6g05340	U_HS T
Mp6g05390	U_HS T
Mp6g05500	U_HS T
Mp6g05510	U_HS T
Mp6g05520	U_HS T
Mp6g05530	U_HS T
Mp6g05670	U_HS T
Mp6g06000	U_HS T
Mp6g06260	U_HS T
Mp6g06540	U_HS T
Mp6g06810	U_HS T
Mp6g06900	U_HS T
Mp6g06950	U_HS T
Mp6g07310	U_HS T
Mp6g07390	U_HS T
Mp6g08040	U_HS T
Mp6g08170	U_HS T
Mp6g08260	U_HS T
Mp6g08270	U_HS T
Mp6g08280	U_HS T
Mp6g08530	U_HS T
Mp6g08540	U_HS T
Mp6g09230	U_HS T
Mp6g09240	U_HS T
Mp6g09250	U_HS T
Mp6g09650	U_HS T
Mp6g10160	U_HS T
Mp6g10230	U_HS T
Mp6g10330	U_HS T
Mp6g10450	U_HS T
Mp6g10520	U_HS T
Mp6g11300	U_HS T
Mp6g11960	U_HS T
Mp6g12130	U_HS T
Mp6g12580	U_HS T
Mp6g12710	U_HS T
Mp6g13030	U_HS T
Mp6g13140	U_HS T
Mp6g13670	U_HS T
Mp6g14180	U_HS T
Mp6g14300	U_HS T
Mp6g14400	U_HS T
Mp6g14510	U_HS T
Mp6g14520	U_HS T
Mp6g14720	U_HS T
Mp6g15280	U_HS T
Mp6g15580	U_HS T
Mp6g16230	U_HS T
Mp6g16310	U_HS T
Mp6g16540	U_HS T
Mp6g16880	U_HS T
Mp6g16970	U_HS T
Mp6g17000	U_HS T
Mp6g18450	U_HS T
Mp6g18480	U_HS T
Mp6g18940	U_HS T
Mp6g19130	U_HS T
