gene	cluster
Mp1g28310	C5
Mp1g28320	C4
Mp1g28330	C2
Mp1g28360	C1
Mp1g28390	C5
Mp1g28400	C5
Mp1g28420	C5
Mp1g28450	C6
Mp1g28510	C6
Mp1g28530	C2
Mp1g28570	C4
Mp1g28580	C5
Mp1g28660	C1
Mp1g28720	C2
Mp1g28780	C7
Mp1g28920	C6
Mp1g28940	C5
Mp1g28990	C4
Mp1g29010	C4
Mp1g29260	C2
Mp1g29350	C7
Mp1g29480	C1
Mp2g00040	C2
Mp2g00230	C4
Mp2g00260	C4
Mp2g00330	C5
Mp2g00510	C1
Mp2g00650	C6
Mp2g00660	C5
Mp2g00690	C5
Mp2g00810	C2
Mp2g00840	C8
Mp2g00860	C8
Mp2g00890	C6
Mp2g00910	C5
Mp2g00930	C1
Mp2g00990	C4
Mp2g01240	C2
Mp2g01310	C5
Mp2g01340	C6
Mp2g01350	C8
Mp2g01360	C6
Mp2g01380	C4
Mp2g01420	C7
Mp2g01560	C1
Mp2g01660	C5
Mp2g01690	C5
Mp2g01700	C1
Mp2g01710	C7
Mp2g01720	C1
Mp2g01740	C1
Mp2g01750	C6
Mp2g01800	C1
Mp2g01820	C6
Mp2g01830	C2
Mp2g01850	C8
Mp2g01860	C2
Mp2g01870	C2
Mp2g01900	C3
Mp2g01990	C4
Mp2g02020	C4
Mp2g02090	C7
Mp2g02120	C1
Mp2g02170	C3
Mp2g02190	C1
Mp2g02210	C1
Mp2g02230	C2
Mp2g02265a	C4
Mp2g02280	C4
Mp2g02290	C4
Mp2g02340	C1
Mp2g02350	C6
Mp2g02510	C8
Mp2g02520	C7
Mp2g02590	C3
Mp2g02640	C2
Mp2g02650	C2
Mp2g02750	C1
Mp2g02770	C4
Mp2g02780	C2
Mp2g02820	C1
Mp2g02870	C2
Mp2g02920	C1
Mp2g03100	C1
Mp2g03110	C6
Mp2g03240	C8
Mp2g03250	C5
Mp2g03470	C5
Mp2g03710	C4
Mp2g03800	C1
Mp2g03850	C1
Mp2g03870	C1
Mp2g03960	C2
Mp2g04040	C2
Mp2g04050	C2
Mp2g04130	C4
Mp2g04150	C1
Mp2g04400	C8
Mp2g04410	C2
Mp2g04460	C5
Mp2g04480	C8
Mp2g04630	C2
Mp2g04740	C6
Mp2g04800	C4
Mp2g04890	C3
Mp2g04900	C3
Mp2g04920	C7
Mp2g04950	C5
Mp2g05030	C1
Mp2g05040	C5
Mp2g05050	C1
Mp2g05080	C4
Mp2g05250	C1
Mp2g05380	C6
Mp2g05510	C2
Mp2g05630	C5
Mp2g05680	C1
Mp2g05760	C4
Mp2g05780	C1
Mp2g05790	C1
Mp2g05800	C1
Mp2g05810	C1
Mp2g05880	C6
Mp2g05910	C7
Mp2g05950	C4
Mp2g05990	C4
Mp2g06030	C4
Mp2g06080	C1
Mp2g06090	C1
Mp2g06140	C2
Mp2g06360	C1
Mp2g06610	C2
Mp2g06620	C1
Mp2g06670	C4
Mp2g06680	C6
Mp2g06760	C4
Mp2g06770	C3
Mp2g06780	C7
Mp2g06790	C1
Mp2g06810	C6
Mp2g06930	C8
Mp2g07000	C2
Mp2g07060	C6
Mp2g07130	C2
Mp2g07150	C5
Mp2g07170	C4
Mp2g07210	C4
Mp2g07500	C7
Mp2g07510	C7
Mp2g07700	C1
Mp2g07710	C4
Mp2g07720	C4
Mp2g07820	C2
Mp2g07840	C8
Mp2g07900	C3
Mp2g07990	C1
Mp2g08000	C1
Mp2g08060	C5
Mp2g08140	C4
Mp2g08260	C2
Mp2g08290	C7
Mp2g08350	C2
Mp2g08510	C1
Mp2g08520	C2
Mp2g08540	C4
Mp2g08550	C8
Mp2g08570	C8
Mp2g08650	C4
Mp2g08660	C6
Mp2g08760	C8
Mp2g08820	C2
Mp2g09140	C6
Mp2g09200	C7
Mp2g09220	C3
Mp2g09360	C2
Mp2g09380	C8
Mp2g09490	C2
Mp2g09510	C1
Mp2g09560	C7
Mp2g09790	C6
Mp2g09820	C7
Mp2g09910	C4
Mp2g09970	C4
Mp2g10010	C5
Mp2g10020	C8
Mp2g10040	C3
Mp2g10050	C3
Mp2g10070	C5
Mp2g10090	C7
Mp2g10120	C4
Mp2g10220	C2
Mp2g10240	C4
Mp2g10260	C2
Mp2g10270	C2
Mp2g10330	C8
Mp2g10380	C6
Mp2g10410	C8
Mp2g10510	C4
Mp2g10535	C2
Mp2g10590	C1
Mp2g10650	C3
Mp2g10700	C2
Mp2g10710	C6
Mp2g10720	C4
Mp2g10850	C4
Mp2g10860	C4
Mp2g10870	C4
Mp2g10900	C2
Mp2g11080	C1
Mp2g11120	C2
Mp2g11170	C6
Mp2g11200	C5
Mp2g11300	C4
Mp2g11530	C5
Mp2g11560	C4
