gene	cluster
Mp7g04270	C2
Mp7g04340	C4
Mp7g04390	C2
Mp7g04500	C3
Mp7g04580	C4
Mp7g04620	C2
Mp7g04630	C1
Mp7g04650	C7
Mp7g04800	C8
Mp7g04810	C6
Mp7g04950	C4
Mp7g05020	C6
Mp7g05040	C4
Mp7g05050	C7
Mp7g05080	C6
Mp7g05120	C4
Mp7g05170	C7
Mp7g05210	C6
Mp7g05240	C6
Mp7g05260	C5
Mp7g05330	C4
Mp7g05440	C2
Mp7g05480	C5
Mp7g05530	C5
Mp7g05560	C6
Mp7g05640	C8
Mp7g05680	C4
Mp7g05690	C3
Mp7g05750	C2
Mp7g05770	C6
Mp7g05830	C5
Mp7g05870	C6
Mp7g06000	C4
Mp7g06030	C4
Mp7g06170	C1
Mp7g06280	C2
Mp7g06340	C1
Mp7g06380	C1
Mp7g06430	C6
Mp7g06470	C2
Mp7g06530	C5
Mp7g06550	C1
Mp7g06830	C8
Mp7g06880	C7
Mp7g06900	C3
Mp7g06980	C2
Mp7g07020	C6
Mp7g07050	C5
Mp7g07110	C6
Mp7g07160	C1
Mp7g07210	C4
Mp7g07260	C4
Mp7g07330	C7
Mp7g07610	C1
Mp7g07630	C2
Mp7g07690	C6
Mp7g07710	C4
Mp7g07860	C4
Mp7g07880	C2
Mp7g07960	C5
Mp7g07990	C4
Mp7g08160	C3
Mp7g08170	C4
Mp7g08260	C5
Mp7g08340	C2
Mp7g08450	C4
Mp7g08480	C4
Mp7g08500	C4
Mp7g08570	C2
Mp7g08620	C5
Mp7g08650	C2
Mp7g08740	C6
Mp7g08760	C7
Mp7g08800	C2
Mp7g08810	C1
Mp7g08820	C1
Mp7g08830	C1
Mp7g09030	C4
Mp7g09070	C7
Mp7g09270	C3
Mp7g09310	C6
Mp7g09350	C1
Mp7g09410	C4
Mp7g09420	C4
Mp7g09660	C4
Mp7g09710	C1
Mp7g09780	C3
Mp7g09875	C1
Mp7g10010	C3
Mp7g10020	C2
Mp7g10170	C2
Mp7g10210	C8
Mp7g10420	C7
Mp7g10430	C8
Mp7g10460	C1
Mp7g10710	C1
Mp7g10730	C6
Mp7g10770	C1
Mp7g10800	C7
Mp7g10890	C3
Mp7g10970	C6
Mp7g11000	C1
Mp7g11020	C6
Mp7g11040	C6
Mp7g11110	C2
Mp7g11200	C6
Mp7g11260	C6
Mp7g11350	C6
Mp7g11410	C2
Mp7g11430	C2
Mp7g11550	C6
Mp7g11630	C2
Mp7g11680	C1
Mp7g11760	C6
Mp7g11790	C7
Mp7g11850	C2
Mp7g11870	C1
Mp7g11930	C3
Mp7g11980	C6
Mp7g12060	C6
Mp7g12080	C7
Mp7g12260	C3
Mp7g12300	C4
Mp7g12340	C2
Mp7g12440	C5
Mp7g12450	C5
Mp7g12460	C2
Mp7g12560	C3
Mp7g12630	C5
Mp7g12690	C4
Mp7g12720	C4
Mp7g12810	C1
Mp7g12820	C4
Mp7g12850	C5
Mp7g13030	C4
Mp7g13070	C4
Mp7g13130	C6
Mp7g13270	C6
Mp7g13390	C2
Mp7g13490	C4
Mp7g13570	C4
Mp7g13630	C8
Mp7g13670	C3
Mp7g13690	C3
Mp7g13750	C4
Mp7g13760	C4
Mp7g13830	C4
Mp7g13990	C6
Mp7g14030	C4
Mp7g14040	C4
Mp7g14050	C4
Mp7g14070	C2
Mp7g14100	C2
Mp7g14110	C2
Mp7g14140	C8
Mp7g14300	C6
Mp7g14390	C3
Mp7g14400	C3
Mp7g14460	C4
Mp7g14550	C6
Mp7g14660	C1
Mp7g14780	C6
Mp7g14890	C1
Mp7g14920	C1
Mp7g14930	C6
Mp7g14960	C6
Mp7g14970	C5
Mp7g15000	C1
Mp7g15020	C4
Mp7g15030	C4
Mp7g15180	C7
Mp7g15270	C8
Mp7g15410	C5
Mp7g15440	C1
Mp7g15460	C5
Mp7g15550	C4
Mp7g15570	C4
Mp7g15610	C5
Mp7g15620	C6
Mp7g15690	C3
Mp7g15800	C4
Mp7g15820	C5
Mp7g15880	C6
Mp7g16130	C4
Mp7g16140	C4
Mp7g16200	C6
Mp7g16220	C2
Mp7g16230	C2
Mp7g16240	C2
Mp7g16270	C4
Mp7g16300	C5
Mp7g16380	C6
Mp7g16420	C3
Mp7g16430	C6
Mp7g16480	C4
Mp7g16570	C2
Mp7g16580	C2
Mp7g16620	C1
Mp7g16730	C5
Mp7g16760	C5
Mp7g16800	C5
Mp7g16830	C6
Mp7g17020	C1
Mp7g17100	C2
Mp7g17110	C2
Mp7g17120	C4
Mp7g17200	C1
Mp7g17400	C5
Mp7g17580	C1
Mp7g17690	C5
Mp7g17710	C1
Mp7g17750	C5
Mp7g17880	C4
Mp7g17950	C4
Mp7g17960	C2
Mp7g18000	C6
Mp7g18030	C6
Mp7g18100	C5
Mp7g18140	C4
Mp7g18170	C5
Mp7g18200	C6
Mp7g18210	C2
Mp7g18290	C2
Mp7g18330	C1
Mp7g18340	C6
Mp7g18360	C1
Mp7g18420	C6
Mp7g18430	C3
Mp7g18470	C7
Mp7g18550	C6
Mp7g18570	C6
Mp7g18730	C5
Mp7g18870	C2
Mp7g18900	C5
Mp7g19030	C6
Mp7g19040	C5
Mp7g19050	C5
Mp7g19120	C4
Mp7g19220	C7
Mp7g19240	C1
Mp7g19310	C2
Mp7g19340	C6
Mp7g19390	C8
Mp7g19430	C1
Mp7g19490	C2
Mp7g19550	C5
Mp7g19610	C5
Mp7g19700	C7
Mp8g00040	C7
Mp8g00110	C8
Mp8g00200	C8
Mp8g00210	C2
Mp8g00290	C1
Mp8g00310	C5
Mp8g00320	C5
Mp8g00350	C6
Mp8g00460	C6
Mp8g00500	C3
Mp8g00560	C7
Mp8g00590	C2
Mp8g00600	C2
Mp8g00630	C4
Mp8g00660	C3
Mp8g00680	C4
Mp8g00700	C2
Mp8g00720	C2
Mp8g00740	C6
Mp8g00750	C6
Mp8g00830	C2
Mp8g00860	C7
Mp8g00920	C7
Mp8g00960	C2
Mp8g01140	C6
Mp8g01160	C1
Mp8g01250	C7
Mp8g01270	C4
Mp8g01280	C6
Mp8g01290	C1
Mp8g01400	C1
Mp8g01460	C4
Mp8g01500	C2
Mp8g01740	C5
Mp8g01750	C5
Mp8g01770	C1
Mp8g01780	C2
Mp8g01820	C3
Mp8g01830	C7
Mp8g01840	C2
Mp8g01900	C5
Mp8g01920	C7
Mp8g01960	C5
Mp8g01970	C1
Mp8g01980	C1
Mp8g02020	C6
Mp8g02110	C6
Mp8g02140	C6
Mp8g02150	C3
Mp8g02160	C5
Mp8g02240	C1
Mp8g02280	C1
Mp8g02425	C4
Mp8g02430	C5
Mp8g02450	C4
Mp8g02460	C4
Mp8g02470	C5
Mp8g02500	C7
Mp8g02530	C4
Mp8g02540	C4
Mp8g02690	C1
Mp8g02700	C1
Mp8g02710	C7
Mp8g02730	C1
Mp8g02740	C7
Mp8g02750	C1
Mp8g02760	C7
Mp8g02770	C7
Mp8g02840	C5
Mp8g02890	C6
Mp8g02910	C1
Mp8g02920	C1
Mp8g02930	C6
Mp8g02940	C1
Mp8g03070	C5
Mp8g03180	C1
Mp8g03200	C1
Mp8g03220	C5
Mp8g03300	C4
Mp8g03310	C7
Mp8g03330	C1
Mp8g03370	C7
Mp8g03410	C6
Mp8g03440	C6
Mp8g03510	C5
Mp8g03650	C1
Mp8g03690	C1
Mp8g03750	C6
Mp8g04090	C5
Mp8g04130	C6
Mp8g04240	C4
Mp8g04250	C1
Mp8g04260	C1
Mp8g04290	C5
Mp8g04630	C1
Mp8g04640	C6
Mp8g04650	C1
Mp8g04700	C6
Mp8g04750	C2
Mp8g04780	C6
Mp8g04820	C6
Mp8g04850	C6
Mp8g04890	C2
Mp8g04910	C3
Mp8g04950	C2
Mp8g05020	C2
Mp8g05050	C7
Mp8g05060	C6
Mp8g05080	C2
Mp8g05120	C3
Mp8g05150	C6
Mp8g05200	C1
Mp8g05280	C5
Mp8g05340	C6
Mp8g05420	C5
Mp8g05430	C4
Mp8g05440	C4
Mp8g05490	C5
Mp8g05520	C6
Mp8g05610	C2
Mp8g05650	C6
Mp8g05670	C7
Mp8g05680	C4
Mp8g05840	C5
Mp8g05920	C2
Mp8g05970	C5
Mp8g06180	C5
Mp8g06230	C6
Mp8g06260	C7
Mp8g06300	C2
Mp8g06310	C3
Mp8g06360	C1
Mp8g06400	C4
Mp8g06460	C4
Mp8g06470	C2
Mp8g06490	C2
Mp8g06520	C4
Mp8g06540	C4
Mp8g06570	C2
Mp8g06590	C2
Mp8g06610	C2
Mp8g06690	C3
Mp8g06760	C1
Mp8g06780	C5
Mp8g06860	C1
Mp8g06870	C5
Mp8g06890	C6
Mp8g06920	C4
Mp8g07000	C4
Mp8g07010	C4
Mp8g07070	C3
Mp8g07170	C6
Mp8g07270	C1
Mp8g07330	C2
Mp8g07380	C3
Mp8g07540	C6
Mp8g07630	C6
Mp8g07680	C5
Mp8g07710	C8
Mp8g07850	C1
Mp8g07950	C6
Mp8g08100	C1
Mp8g08240	C6
Mp8g08270	C6
Mp8g08310	C1
Mp8g08430	C1
Mp8g08450	C5
Mp8g08550	C2
Mp8g08570	C5
Mp8g08610	C5
Mp8g08650	C2
Mp8g08670	C6
Mp8g08700	C5
Mp8g08710	C6
Mp8g08780	C6
Mp8g08830	C6
Mp8g08840	C1
Mp8g08860	C8
Mp8g08900	C2
Mp8g08910	C2
Mp8g08920	C4
Mp8g08930	C3
Mp8g08940	C2
Mp8g08950	C5
Mp8g08960	C3
Mp8g08990	C5
Mp8g09000	C2
Mp8g09010	C5
Mp8g09100	C5
Mp8g09110	C5
Mp8g09150	C2
Mp8g09220	C1
Mp8g09300	C2
Mp8g09330	C1
Mp8g09350	C1
Mp8g09370	C6
Mp8g09420	C7
Mp8g09430	C4
Mp8g09630	C5
Mp8g09750	C4
Mp8g09770	C6
Mp8g09900	C5
Mp8g10000	C4
Mp8g10060	C4
Mp8g10080	C7
Mp8g10150	C3
Mp8g10340	C5
Mp8g10350	C3
Mp8g10370	C8
Mp8g10420	C5
Mp8g10450	C5
Mp8g10500	C8
Mp8g10570	C1
Mp8g10580	C3
Mp8g10590	C6
Mp8g10620	C2
Mp8g10660	C4
Mp8g10690	C2
Mp8g10880	C4
Mp8g10940	C6
Mp8g11130	C6
Mp8g11200	C1
Mp8g11210	C1
Mp8g11420	C3
Mp8g11560	C3
Mp8g11870	C5
Mp8g11970	C1
Mp8g11980	C1
Mp8g12000	C2
Mp8g12010	C1
Mp8g12150	C5
Mp8g12160	C5
Mp8g12170	C7
Mp8g12260	C1
Mp8g12350	C7
Mp8g12480	C6
Mp8g12500	C5
Mp8g12570	C2
Mp8g12580	C2
Mp8g12600	C1
Mp8g12700	C2
Mp8g12710	C3
Mp8g12790	C6
Mp8g12880	C5
Mp8g12920	C1
Mp8g12970	C1
Mp8g13020	C6
Mp8g13060	C4
Mp8g13070	C8
Mp8g13140	C8
Mp8g13200	C6
Mp8g13250	C2
Mp8g13260	C5
Mp8g13320	C2
Mp8g13330	C2
Mp8g13380	C1
Mp8g13430	C5
Mp8g13450	C1
Mp8g13510	C8
Mp8g13590	C2
Mp8g13670	C5
Mp8g13780	C6
Mp8g13870	C1
Mp8g13940	C6
Mp8g13970	C1
Mp8g14150	C6
Mp8g14180	C2
Mp8g14230	C4
Mp8g14240	C4
Mp8g14310	C2
Mp8g14450	C6
Mp8g14480	C5
Mp8g14500	C7
Mp8g14510	C1
Mp8g14540	C7
Mp8g14575	C1
Mp8g14590	C4
Mp8g14605	C1
Mp8g14650	C4
Mp8g14680	C1
Mp8g14700	C5
Mp8g14720	C5
Mp8g14740	C4
Mp8g14750	C4
Mp8g14780	C6
Mp8g14810	C6
Mp8g14820	C1
Mp8g14850	C4
Mp8g14870	C3
Mp8g14900	C3
Mp8g14910	C7
Mp8g14930	C1
Mp8g15055	C6
Mp8g15060	C1
Mp8g15075	C1
Mp8g15160	C4
Mp8g15240	C1
Mp8g15290	C1
Mp8g15335	C1
Mp8g15410	C2
Mp8g15420	C4
Mp8g15560	C1
Mp8g15640	C4
Mp8g15750	C8
Mp8g15790	C1
Mp8g15800	C4
Mp8g15840	C1
Mp8g15900	C1
Mp8g15920	C1
Mp8g15930	C2
Mp8g15970	C8
Mp8g16110	C3
Mp8g16120	C1
Mp8g16220	C2
Mp8g16250	C4
Mp8g16260	C1
Mp8g16270	C7
Mp8g16290	C1
Mp8g16380	C4
Mp8g16390	C4
Mp8g16400	C4
Mp8g16450	C4
Mp8g16500	C6
Mp8g16530	C6
Mp8g16560	C6
Mp8g16590	C1
Mp8g16670	C1
Mp8g16710	C6
Mp8g16770	C4
Mp8g16780	C2
Mp8g16790	C4
Mp8g16880	C2
Mp8g16900	C1
Mp8g16950	C1
Mp8g16970	C6
Mp8g17110	C1
Mp8g17230	C6
Mp8g17300	C6
Mp8g17360	C4
Mp8g17560	C3
Mp8g17750	C2
Mp8g17780	C8
Mp8g17810	C7
Mp8g17820	C7
Mp8g17840	C2
Mp8g17860	C2
Mp8g18530	C2
Mp8g18550	C2
Mp8g18560	C4
Mp8g18590	C6
Mp8g18700	C2
Mp8g18910	C3
Mp8g19020	C7
Mp8g19040	C8
MpVg00460	C5
MpVg00610	C7
MpVg00720	C2
MpVg00860	C1
MpVg01223	C1
Mpzg01490b	C4
Mpzg00230	C7
Mpzg00260	C7
Mpzg00310	C3
Mpzg01590b	C4
Mpzg00390	C2
Mpzg00480	C1
Mpzg00500	C5
Mpzg00510	C6
Mpzg01810a	C4
Mpzg00820	C1
Mpzg01890b	C4
Mpzg01900a	C4
Mpzg01920a	C4
Mpzg00970	C2
Mpzg02050b	C4
Mpzg02140a	C4
Mpzg02230a	C4
Mpzg01290	C7
Mpzg01410	C6
