output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C2_C2C2gata_17	NA	C2_C2C2gata_17	C_1	554	9.20994	35	7.49037	33	0.26817	2.91661e-82	True
_C13_C2C2COlike_6-C2_C2C2COlike_9-C4_C2C2COlike_6-C6_C2C2COlike_10-C9_C2C2COlike_7	NA	C13_C2C2COlike_6-C2_C2C2COlike_9-C4_C2C2COlike_6-C6_C2C2COlike_10-C9_C2C2COlike_7	C_	217	8.30679	10	6.92127	10	0.36027	7.67902e-79	True
_C4_AP2EREBP_87	NA	C4_AP2EREBP_87	C_	760	8.16563	37	6.65522	36	0.30671	1.26986e-99	True
_C6_C2C2gata_20	NA	C6_C2C2gata_20	C_	1016	8.74546	63	7.54224	60	0.2118	6.13604e-90	True
_C2_G2like_11-C4_G2like_14-C6_G2like_7-C9_G2like_5	NA	C2_G2like_11-C4_G2like_14-C6_G2like_7-C9_G2like_5	C_	593	9.21257	34	7.83101	32	0.31074	6.20324e-86	True
_C6_C2C2gata_3	NA	C6_C2C2gata_3	C_	643	7.90493	32	6.64435	32	0.26449	3.29469e-91	True
_C6_AP2EREBP_87	NA	C6_AP2EREBP_87	C_	248	8.86037	12	8.10278	12	0.31539	2.53344e-78	True
_C9_WRKY_3	NA	C9_WRKY_3	C_	690	8.95152	40	7.23254	40	0.24946	1.77274e-84	True
_C2_AP2EREBP_115	NA	C2_AP2EREBP_115	C_	511	8.68315	29	7.10014	27	0.2807	3.06165e-82	True
_C2_BZR_13	NA	C2_BZR_13	C_	298	7.6224	9	5.52509	9	0.34873	1.96182e-83	True
_C4_C2H2_11	NA	C4_C2H2_11	C_	281	10.97952	23	11.23172	22	0.02659	2.42089e-05	True
_C6_LOBAS2_6-C9_LOBAS2_7	NA	C6_LOBAS2_6-C9_LOBAS2_7	C_	145	9.02365	11	6.64841	11	0.52773	7.78856e-85	True
_C3_AP2EREBP_11	NA	C3_AP2EREBP_11	C_	294	8.73938	19	8.02259	19	-0.00352	0.203836	True
_C2_E2FDP_8	NA	C2_E2FDP_8	C_	380	9.15872	29	8.27319	27	-0.02471	0.000240106	True
_C2_WRKY_2-C6_WRKY_1-C7_WRKY_1-C9_WRKY_2	NA	C2_WRKY_2-C6_WRKY_1-C7_WRKY_1-C9_WRKY_2	C_	292	7.60942	12	5.79641	11	0.3308	2.86167e-74	True
