output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C10_C2C2YABBY_15-C5_C2C2YABBY_4-C6_C2C2YABBY_13-C9_C2C2YABBY_11	NA	C10_C2C2YABBY_15-C5_C2C2YABBY_4-C6_C2C2YABBY_13-C9_C2C2YABBY_11	C_5-C5_C2C2YABBY_4-C6_C2C2YABBY_13-C9_C2C2YABBY_11	265	11.51272	26	9.48031	25	0.2738	1.41218e-69	True
_C4_Homeobox_1	NA	C4_Homeobox_1	C_	196	7.05079	8	6.4641	10	-0.07412	7.8264e-21	True
_C6_BZR_21-C9_BZR_8	NA	C6_BZR_21-C9_BZR_8	C_	274	5.42538	5	3.9448	3	0.30359	4.61014e-77	True
_C10_BZR_9-C2_BZR_19-C4_BZR_14-C6_BZR_22-C9_BZR_9	NA	C10_BZR_9-C2_BZR_19-C4_BZR_14-C6_BZR_22-C9_BZR_9	C_	263	7.11893	10	5.5346	10	0.37475	1.2904e-77	True
_C10_AP2EREBP_12-C2_AP2EREBP_13-C3_AP2EREBP_14-C4_AP2EREBP_13-C5_AP2EREBP_1-C6_AP2EREBP_16-C9_AP2EREBP_11	NA	C10_AP2EREBP_12-C2_AP2EREBP_13-C3_AP2EREBP_14-C4_AP2EREBP_13-C5_AP2EREBP_1-C6_AP2EREBP_16-C9_AP2EREBP_11	C_	165	10.64316	8	8.68354	9	-0.05327	3.2638e-10	True
_C2_NAC_30	NA	C2_NAC_30	C_	104	9.16484	6	8.43282	6	-0.12371	5.6397e-23	True
_C10_bHLH_23-C13_bHLH_6-C2_bHLH_31-C4_bHLH_19-C6_bHLH_34-C9_bHLH_11	NA	C10_bHLH_23-C13_bHLH_6-C2_bHLH_31-C4_bHLH_19-C6_bHLH_34-C9_bHLH_11	C_	336	11.19634	22	8.95868	21	0.29515	1.0338e-75	True
_C9_TCP_27	NA	C9_TCP_27	C_	350	8.89005	16	7.23022	14	0.2361	3.72395e-70	True
_C6_C2C2gata_1	NA	C6_C2C2gata_1	C_	300	7.24409	11	6.98491	14	-0.05626	7.63272e-19	True
_C1_NLP_6-C10_NLP_18-C11_NLP_2-C2_NLP_15-C3_NLP_15-C4_NLP_15-C6_NLP_16-C9_NLP_9	NA	C1_NLP_6-C10_NLP_18-C11_NLP_2-C2_NLP_15-C3_NLP_15-C4_NLP_15-C6_NLP_16-C9_NLP_9	C_	179	7.3998	7	6.71129	8	-0.05385	1.41743e-09	True
