output_prefix	name	motif_id	cluster	total_tfbs	HS_mean_score	HS_bound	CK_mean_score	CK_bound	HS_CK_change	HS_CK_pvalue	HS_CK_highlighted
_C4_C2C2dof_5-C6_C2C2dof_3	NA	C4_C2C2dof_5-C6_C2C2dof_3	C_	211	12.61413	165	9.89791	129	0.17657	3.97236e-47	True
_C2_AP2EREBP_83	NA	C2_AP2EREBP_83	C_	158	4.84044	114	4.06135	74	0.17832	1.23397e-39	True
_C13_TCP_9	NA	C13_TCP_9	C_	610	9.43218	463	8.19516	340	0.15661	4.14418e-62	True
_C10_bHLH_8-C2_bHLH_13-C3_bHLH_8-C5_bHLH_11-C6_bHLH_15-C7_bHLH_2	NA	C10_bHLH_8-C2_bHLH_13-C3_bHLH_8-C5_bHLH_11-C6_bHLH_15-C7_bHLH_2	C_	620	7.27463	463	6.98197	439	-0.19246	4.49646e-68	True
_C3_bHLH_37	NA	C3_bHLH_37	C_	191	6.04829	124	6.02529	118	-0.24784	3.11228e-51	True
_C3_HMG_3	NA	C3_HMG_3	C_	58	5.27932	37	5.86447	42	-0.53522	2.72922e-65	True
_C10_bHLH_2-C2_bHLH_3-C3_bHLH_1	NA	C10_bHLH_2-C2_bHLH_3-C3_bHLH_1	C_	195	6.08449	156	6.69533	154	-0.33858	1.75112e-67	True
_C6_bHLH_2	NA	C6_bHLH_2	C_	39	17.15154	28	14.32609	20	0.32507	4.25637e-36	True
_C6_TCP_40	NA	C6_TCP_40	C_	432	10.69985	327	8.86887	245	0.23046	1.71161e-71	True
_C3_LOBAS2_18	NA	C3_LOBAS2_18	C_	79	6.00018	59	5.65974	56	-0.20278	1.05539e-40	True
_C10_LOBAS2_9	NA	C10_LOBAS2_9	C_	126	8.67137	82	7.81969	79	-0.20592	4.13988e-43	True
_C3_CAMTA_4	NA	C3_CAMTA_4	C_	76	12.92254	59	12.64902	55	-0.2069	8.48612e-33	True
_C10_Trihelix_21-C2_Trihelix_20-C3_Trihelix_15-C4_Trihelix_18-C5_Trihelix_19-C9_Trihelix_14	NA	C10_Trihelix_21-C2_Trihelix_20-C3_Trihelix_15-C4_Trihelix_18-C5_Trihelix_19-C9_Trihelix_14	C_	440	8.76861	289	7.62032	281	-0.17278	3.87029e-63	True
_C10_DBP_10-C2_DBP_11	NA	C10_DBP_10-C2_DBP_11	C_	98	5.34717	69	5.32133	71	-0.21823	1.32078e-38	True
_C6_bHLH_58	NA	C6_bHLH_58	C_	67	6.35674	52	5.23899	35	0.27884	7.59799e-40	True
_C2_MYB_24	NA	C2_MYB_24	C_	130	9.68212	105	7.48628	69	0.20874	5.75161e-39	True
_C2_AP2EREBP_85	NA	C2_AP2EREBP_85	C_	108	5.96187	83	4.99007	61	0.16538	7.35241e-31	True
_C6_ABI3VP1_26	NA	C6_ABI3VP1_26	C_	116	13.35256	91	10.66468	59	0.27828	4.88358e-52	True
_C3_MYB_14	NA	C3_MYB_14	C_	38	4.44431	22	5.15734	29	-0.47172	1.03124e-53	True
_C11_C2H2_3-C2_C2H2_8-C6_C2H2_12-C9_C2H2_4	NA	C11_C2H2_3-C2_C2H2_8-C6_C2H2_12-C9_C2H2_4	C_	912	11.58398	650	9.74558	460	0.13646	3.59547e-63	True
_C6_HSF_18	NA	C6_HSF_18	C_6-C4_HSF_9-C5_HSF_13-C6_HSF_14-C9_HSF_6	157	11.81432	109	8.73887	80	0.23653	1.76924e-56	True
