"interaction","MI","name","pvalue","selected","shared.interaction","source","target","weight","source_TF","target_TF","presence"
"interacts with",1.03769779816916,"Mp8g08100 (interacts with) Mp4g07610",4.77781991630177e-05,"false","interacts with","Mp8g08100","Mp4g07610",0.0375340710218546,"Trihelix",NA,""
"interacts with",0.992859508788351,"Mpzg01410 (interacts with) Mp1g07250",0.000519722400126321,"false","interacts with","Mpzg01410","Mp1g07250",0.0398474655240153,"bHLH",NA,""
"interacts with",0.903914447123323,"Mp8g08100 (interacts with) Mp3g14610",2.50863130268897e-08,"false","interacts with","Mp8g08100","Mp3g14610",0.0373410614329088,"Trihelix",NA,"source"
"interacts with",1.06139061973909,"Mpzg01410 (interacts with) Mp1g24140",1.2337530996831e-10,"false","interacts with","Mpzg01410","Mp1g24140",0.0397748754542485,"bHLH","HD",""
"interacts with",0.989539873462859,"Mp8g08100 (interacts with) Mp1g03020",0.0491152351220638,"false","interacts with","Mp8g08100","Mp1g03020",0.0372330686820291,"Trihelix",NA,""
"interacts with",0.956488805904276,"Mpzg01410 (interacts with) Mp4g14080",4.10292818320279e-06,"false","interacts with","Mpzg01410","Mp4g14080",0.0393262606973274,"bHLH",NA,""
"interacts with",0.88871304630319,"Mp8g08100 (interacts with) Mp8g08310",0,"false","interacts with","Mp8g08100","Mp8g08310",0.0372267537893373,"Trihelix",NA,""
"interacts with",0.990592671542924,"Mpzg01410 (interacts with) Mp7g11760",0.0491152351220638,"false","interacts with","Mpzg01410","Mp7g11760",0.0391769694283858,"bHLH",NA,""
"interacts with",0.8989710537842,"Mp8g08100 (interacts with) Mp7g08830",3.30563580508425e-07,"false","interacts with","Mp8g08100","Mp7g08830",0.0358788430206333,"Trihelix",NA,""
"interacts with",1.03247962950939,"Mpzg01410 (interacts with) Mp6g03920",0,"false","interacts with","Mpzg01410","Mp6g03920",0.039153377215097,"bHLH","bZIP",""
"interacts with",0.899179378586009,"Mp8g08100 (interacts with) Mp3g20950",3.30563580508425e-07,"false","interacts with","Mp8g08100","Mp3g20950",0.0357955746341538,"Trihelix",NA,""
"interacts with",0.999587256794505,"Mpzg01410 (interacts with) Mp4g18300",4.77781991630177e-05,"false","interacts with","Mpzg01410","Mp4g18300",0.0386863523840138,"bHLH",NA,""
"interacts with",1.00707160308048,"Mp8g08100 (interacts with) Mp5g21350",0.000519722400126321,"false","interacts with","Mp8g08100","Mp5g21350",0.0354294978631239,"Trihelix",NA,""
"interacts with",0.975417405913478,"Mpzg01410 (interacts with) Mp7g14110",0,"false","interacts with","Mpzg01410","Mp7g14110",0.038493778835967,"bHLH",NA,""
"interacts with",0.909475398529188,"Mp8g08100 (interacts with) Mp8g02700",0.0491152351220638,"false","interacts with","Mp8g08100","Mp8g02700",0.033705582035386,"Trihelix",NA,""
