distanceToTSS (log10)	group
0.763053440299615	hsfb CK
0	hsfb CK
-0.0780941504064107	hsfb CK
0.637189422148762	hsfb CK
0	hsfb CK
0.00346053210950649	hsfb CK
0	hsfb CK
-0.20682587603185	hsfb CK
-0.272537777375237	hsfb CK
-0.341632335778054	hsfb CK
-0.688152755591566	hsfb CK
-0.786964259435733	hsfb CK
-0.847387551027395	hsfb CK
-0.965859936807072	hsfb CK
-0.941859126525374	hsfb CK
-0.91603261018857	hsfb CK
0	hsfb CK
-0.289142835932333	hsfb CK
0	hsfb CK
0.503654519242959	hsfb CK
0.686636269262293	hsfb CK
-0.799547307125615	hsfb CK
-0.494293768665333	hsfb CK
0	hsfb CK
0.028977705208778	hsfb CK
-0.466274321789292	hsfb CK
-0.253822438708073	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
-0.502290527914773	hsfb CK
0	hsfb CK
0.726808682524964	hsfb CK
0.780173243642594	hsfb CK
-0.723783936965329	hsfb CK
-0.653887558070978	hsfb CK
-0.492620722043192	hsfb CK
-0.44216608578472	hsfb CK
-0.0863598306747482	hsfb CK
0	hsfb CK
0.747800090864369	hsfb CK
0.760196229455134	hsfb CK
0.723455672035186	hsfb CK
0.572987708198205	hsfb CK
0.459090789600586	hsfb CK
0.195622943586937	hsfb CK
0.0115704435972782	hsfb CK
-0.244524511570084	hsfb CK
-0.79982283099332	hsfb CK
0	hsfb CK
0.862787098235344	hsfb CK
0.839478047374198	hsfb CK
0.73870130043471	hsfb CK
0.135450699345514	hsfb CK
0	hsfb CK
-0.425044874551389	hsfb CK
-0.883320678382975	hsfb CK
-0.937467739643377	hsfb CK
-0.949585151326652	hsfb CK
0	hsfb CK
-0.666143427291558	hsfb CK
-0.726971583682877	hsfb CK
0	hsfb CK
0.664171705361931	hsfb CK
0	hsfb CK
-0.440751700479185	hsfb CK
-0.577146984827525	hsfb CK
-0.0232524596337114	hsfb CK
-1.20782279900151	hsfb CK
0.553276046137099	hsfb CK
0	hsfb CK
0	hsfb CK
-0.4888326343824	hsfb CK
0	hsfb CK
-0.583538819254352	hsfb CK
0	hsfb CK
0.35005409357903	hsfb CK
0	hsfb CK
-0.582290682718994	hsfb CK
-0.625826713285711	hsfb CK
0	hsfb CK
-0.531478917042255	hsfb CK
-0.123851640967086	hsfb CK
0	hsfb CK
0.289588952542597	hsfb CK
-0.860757123081542	hsfb CK
0.890253305154534	hsfb CK
0.855942946232316	hsfb CK
0.781036938621132	hsfb CK
-0.00130093302041807	hsfb CK
0.571708831808688	hsfb CK
0.546419266835192	hsfb CK
0	hsfb CK
0	hsfb CK
0.298634783124436	hsfb CK
0.116275587580544	hsfb CK
0	hsfb CK
-0.383994789441733	hsfb CK
-0.893706293064713	hsfb CK
0	hsfb CK
0.0711452904510828	hsfb CK
0.108226656374928	hsfb CK
0	hsfb CK
0.624797578960761	hsfb CK
0.601951404133522	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0	hsfb CK
0.81016528454315	hsfb CK
0	hsfb CK
0.0161973535124391	hsfb CK
0.814180981040187	hsfb CK
0.89614025144202	hsfb CK
0.936061116609988	hsfb CK
-0.00560944536028039	hsfb CK
0	hsfb CK
0.76737852411418	hsfb CK
0	hsfb CK
-0.38363586836188	hsfb CK
0	hsfb CK
-0.418301291319745	hsfb CK
0	hsfb CK
-0.00987563371216012	hsfb CK
-0.0195316845312554	hsfb CK
0	hsfb CK
0.885191540606848	hsfb CK
0.817829699745606	hsfb CK
0.650307523131937	hsfb CK
0.527758752520972	hsfb CK
0	hsfb CK
0	hsfb CK
0.49220145139254	hsfb CK
0	hsfb CK
-0.246252312299322	hsfb CK
0	hsfb CK
-0.777136712504173	hsfb CK
-0.297979244159362	hsfb CK
