distanceToTSS (log10)	group
-0.479431337197736	hsfa CK
0	hsfa CK
-0.707399831133249	hsfa CK
-0.744762237065578	hsfa CK
0	hsfa CK
0	hsfa CK
0.808885867359812	hsfa CK
-0.734559821579476	hsfa CK
0	hsfa CK
0.134495855834674	hsfa CK
0.656002320682957	hsfa CK
0.856003453997221	hsfa CK
0	hsfa CK
0	hsfa CK
-0.116939646550756	hsfa CK
-0.450864692379766	hsfa CK
0	hsfa CK
0	hsfa CK
-0.846955325019824	hsfa CK
0.0603200286882852	hsfa CK
0.0301947853567512	hsfa CK
0	hsfa CK
-0.478710755512759	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
-0.284881714655453	hsfa CK
0	hsfa CK
0.720903170813457	hsfa CK
0.769229581736594	hsfa CK
0.802294711397464	hsfa CK
0.83257277484618	hsfa CK
0.567849450573107	hsfa CK
0	hsfa CK
0	hsfa CK
0.323045735481701	hsfa CK
0.00945089579869393	hsfa CK
0.212986184736668	hsfa CK
0	hsfa CK
0.379668034033654	hsfa CK
0.428134794028789	hsfa CK
0.534660575828444	hsfa CK
0.600210306409328	hsfa CK
1.20134249264771	hsfa CK
1.08845504504417	hsfa CK
1.04536210265335	hsfa CK
0	hsfa CK
-0.613736141261871	hsfa CK
0	hsfa CK
-0.0737183503461227	hsfa CK
-0.291368850451583	hsfa CK
0	hsfa CK
1.04170842089144	hsfa CK
1.11193427633268	hsfa CK
-1.14310852276251	hsfa CK
0	hsfa CK
-0.0346284566253203	hsfa CK
0.585911710319434	hsfa CK
0	hsfa CK
0.273232834043046	hsfa CK
0	hsfa CK
0.193958978019187	hsfa CK
-0.0480531731156091	hsfa CK
0.533644978798763	hsfa CK
0.0996806411092501	hsfa CK
0.326949994165999	hsfa CK
0	hsfa CK
0	hsfa CK
-0.739651443709377	hsfa CK
-0.468642668391511	hsfa CK
-0.415307292225568	hsfa CK
0	hsfa CK
0.165837624690128	hsfa CK
0.303412070596742	hsfa CK
0.35869609957381	hsfa CK
-0.434568904034199	hsfa CK
-0.259593878885949	hsfa CK
-0.143951116423963	hsfa CK
0	hsfa CK
-0.240798771117331	hsfa CK
-0.310480891462675	hsfa CK
1.09485529008368	hsfa CK
0	hsfa CK
0	hsfa CK
-0.401228167498113	hsfa CK
-0.0722498976135148	hsfa CK
0	hsfa CK
0.65915528094063	hsfa CK
0.710371264260763	hsfa CK
0.900694774452398	hsfa CK
1.07022263346096	hsfa CK
-1.0743775376448	hsfa CK
0	hsfa CK
0.120902817614527	hsfa CK
0.0421815945157663	hsfa CK
0	hsfa CK
-0.230959555748569	hsfa CK
-0.503382063473733	hsfa CK
0	hsfa CK
-0.0707764628434347	hsfa CK
-0.397592434038117	hsfa CK
0	hsfa CK
0	hsfa CK
-0.511348515490213	hsfa CK
0	hsfa CK
0	hsfa CK
0.639586086673427	hsfa CK
-0.582290682718994	hsfa CK
-0.55339751012388	hsfa CK
0	hsfa CK
0.435525851498655	hsfa CK
-0.326540668516562	hsfa CK
0	hsfa CK
0.828015064223977	hsfa CK
0.853333105002335	hsfa CK
0	hsfa CK
-0.0216027160282422	hsfa CK
0.636888906983799	hsfa CK
0.780821175853473	hsfa CK
0	hsfa CK
-0.311117842662506	hsfa CK
-0.363235804483694	hsfa CK
-0.64018319192134	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.681512586638962	hsfa CK
0	hsfa CK
0	hsfa CK
0.613736141261871	hsfa CK
0.753429841575423	hsfa CK
-1.06814874097329	hsfa CK
-1.05598958338569	hsfa CK
-0.991226075692495	hsfa CK
-0.976349979003273	hsfa CK
-0.952744024014898	hsfa CK
-0.429106008332697	hsfa CK
0	hsfa CK
0	hsfa CK
0.336859820916809	hsfa CK
0	hsfa CK
0	hsfa CK
-0.300595483889963	hsfa CK
-0.541704023284288	hsfa CK
-0.793650717707173	hsfa CK
0.800235789327354	hsfa CK
0.619302075875608	hsfa CK
0.313234291694724	hsfa CK
0.170848203643309	hsfa CK
0	hsfa CK
-0.495127881242933	hsfa CK
-0.560504415195057	hsfa CK
-0.755035933767772	hsfa CK
0.20655604409903	hsfa CK
0	hsfa CK
0	hsfa CK
0.704665185454529	hsfa CK
0.336059277866349	hsfa CK
0	hsfa CK
0	hsfa CK
0.0191162904470728	hsfa CK
-0.0480531731156091	hsfa CK
0.472171146692363	hsfa CK
-0.000867721531226913	hsfa CK
0	hsfa CK
0.375663613960885	hsfa CK
0.290924559382754	hsfa CK
0	hsfa CK
0.873785460818201	hsfa CK
0	hsfa CK
0.654080235306571	hsfa CK
0	hsfa CK
0	hsfa CK
-0.61394747678035	hsfa CK
-0.0228406108765278	hsfa CK
-0.592620821321982	hsfa CK
-0.368472838440362	hsfa CK
0	hsfa CK
-0.857151502687493	hsfa CK
0	hsfa CK
0.68859777508117	hsfa CK
0.942256150419465	hsfa CK
0.720159303405957	hsfa CK
0	hsfa CK
-0.652536418593025	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.688419822002711	hsfa CK
0	hsfa CK
-0.219060332448861	hsfa CK
0	hsfa CK
-0.207095540419218	hsfa CK
-0.715334683792313	hsfa CK
-0.685383409801487	hsfa CK
0	hsfa CK
0.337858429041094	hsfa CK
0.796990390545686	hsfa CK
0.812512284289983	hsfa CK
0.898999270889789	hsfa CK
1.48579238383521	hsfa CK
1.04320503888766	hsfa CK
0	hsfa CK
0	hsfa CK
-0.498861688992884	hsfa CK
0	hsfa CK
-0.0842186867392388	hsfa CK
0	hsfa CK
0.00475115559100102	hsfa CK
0.0413926851582251	hsfa CK
-0.0766404436703419	hsfa CK
-0.661718057694659	hsfa CK
-0.7555699806288	hsfa CK
-0.847387551027395	hsfa CK
-0.946796027271461	hsfa CK
-0.966282562167463	hsfa CK
-0.91624333046534	hsfa CK
0	hsfa CK
-0.288472800599783	hsfa CK
0	hsfa CK
0.530967681571915	hsfa CK
0.552181338839336	hsfa CK
0.621591675859218	hsfa CK
0.680969718465897	hsfa CK
-0.799616204481499	hsfa CK
-0.493318608232101	hsfa CK
-0.04766419460156	hsfa CK
0.0492180226701817	hsfa CK
-0.466719371681599	hsfa CK
-0.255995726722402	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
-0.578868328666029	hsfa CK
-0.517327882294374	hsfa CK
0	hsfa CK
0.726401162102922	hsfa CK
0.78060530583897	hsfa CK
-0.722387094177124	hsfa CK
-0.653983907374069	hsfa CK
-0.492900011108703	hsfa CK
-0.424554976606713	hsfa CK
-0.0934216851622351	hsfa CK
0	hsfa CK
0.7481880270062	hsfa CK
0.759818877374826	hsfa CK
0.726319612110775	hsfa CK
0.57275546515422	hsfa CK
0.432488255770506	hsfa CK
0.208441356438567	hsfa CK
0.0297894708318556	hsfa CK
-0.243038048686294	hsfa CK
-0.8109042806687	hsfa CK
-0.853637381958594	hsfa CK
-0.913760886412323	hsfa CK
0	hsfa CK
0.89242854694523	hsfa CK
0.870813423915597	hsfa CK
0.839792184445329	hsfa CK
0.737033531333878	hsfa CK
0.141449773400467	hsfa CK
0	hsfa CK
-0.136720567156407	hsfa CK
-0.383994789441733	hsfa CK
-0.47639682672533	hsfa CK
-0.893373330246025	hsfa CK
-0.960708551688557	hsfa CK
0	hsfa CK
-0.665862300203155	hsfa CK
-0.726971583682877	hsfa CK
0	hsfa CK
0	hsfa CK
-0.43568513794163	hsfa CK
-0.576571684065291	hsfa CK
-0.0232524596337114	hsfa CK
-1.20776896973992	hsfa CK
0.571475903681944	hsfa CK
0	hsfa CK
0	hsfa CK
-0.4888326343824	hsfa CK
0	hsfa CK
-0.589279221235967	hsfa CK
0	hsfa CK
0	hsfa CK
-0.107209969647868	hsfa CK
-0.34966598409663	hsfa CK
-0.57978359661681	hsfa CK
-0.64718729789599	hsfa CK
0	hsfa CK
0.331022171041829	hsfa CK
-0.531478917042255	hsfa CK
-0.478277831919605	hsfa CK
-0.122215878272827	hsfa CK
0	hsfa CK
0.318897714627487	hsfa CK
0.894260664446988	hsfa CK
0.777209258145685	hsfa CK
-0.0211892990699381	hsfa CK
0.555215405126073	hsfa CK
0	hsfa CK
0	hsfa CK
0.298853076409707	hsfa CK
0	hsfa CK
-0.384890796530554	hsfa CK
-0.464489547433971	hsfa CK
-0.896746615607406	hsfa CK
-0.927934681741179	hsfa CK
0	hsfa CK
0.0553783313750001	hsfa CK
0	hsfa CK
0.628491104967123	hsfa CK
0.691876822559331	hsfa CK
0.650404669868032	hsfa CK
0.604442066260723	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
0.809290301176316	hsfa CK
0	hsfa CK
0.0153597554092142	hsfa CK
0.89614025144202	hsfa CK
0.940068013739353	hsfa CK
-0.00173371280900053	hsfa CK
0	hsfa CK
0.79155030502733	hsfa CK
0	hsfa CK
0	hsfa CK
-0.415640979896154	hsfa CK
0	hsfa CK
-0.00774777800073995	hsfa CK
-0.0211892990699381	hsfa CK
0	hsfa CK
0.880470592803778	hsfa CK
0.817829699745606	hsfa CK
0.650307523131937	hsfa CK
0.526985068559996	hsfa CK
0	hsfa CK
0	hsfa CK
0	hsfa CK
-0.244277120801843	hsfa CK
0	hsfa CK
-0.777209258145685	hsfa CK
0	hsfa CK
0.211654400553182	hsfa CK
1.08062648692181	hsfa CK
0.813046965160108	hsfa CK
0.76477371691104	hsfa CK
0	hsfa CK
-0.323870606540509	hsfa CK
-0.463445031770428	hsfa CK
-0.571242850560224	hsfa CK
-0.67788058151159	hsfa CK
-0.888235673270567	hsfa CK
-0.917768002447756	hsfa CK
0.507720976685614	hsfa CK
0	hsfa CK
0	hsfa CK
